,index,user,group,task,phase,time,type,sourcePath,targetPath,sourceRange,targetRange,time_dup
88,226,energy,control,2,0,2023-02-01 19:31:56.995897,tree,,code/lib/styled_widgets/context_menus/scrap_context_menu.dart (stove),,,2023-02-01T19:31:56.995897
90,581,energy,control,2,0,2023-02-01 19:32:02.120063,UI,,/styled_widgets/buttons/styled_share_btn.dart,,,2023-02-01T19:32:02.120063
91,582,energy,control,2,0,2023-02-01 19:32:19.313923,UI,,/commands/books/delete_page_scrap_command.dart,,,2023-02-01T19:32:19.313923
92,227,energy,control,2,0,2023-02-01 19:32:35.584393,define,code/lib/commands/books/delete_page_scrap_command.dart (windshield),code/lib/commands/commands.dart (elastic),8:4-8:14,30:17-30:27,2023-02-01T19:32:35.584393
94,228,energy,control,2,0,2023-02-01 19:32:45.686320,tree,,code/lib/models/books_model.dart (coelurus),,,2023-02-01T19:32:45.686320
96,585,energy,control,2,0,2023-02-01 19:33:04.746153,UI,,/commands/books/delete_page_scrap_command.dart,,,2023-02-01T19:33:04.746153
98,229,energy,control,2,0,2023-02-01 19:33:07.880146,define,code/lib/commands/books/delete_page_scrap_command.dart (windshield),code/lib/commands/books/update_book_modified_command.dart (succinct),9:4-9:29,6:6-6:31,2023-02-01T19:33:07.880146
100,588,energy,control,2,0,2023-02-01 19:33:21.667047,UI,,/commands/books/delete_page_scrap_command.dart,,,2023-02-01T19:33:21.667047
102,230,energy,control,2,0,2023-02-01 19:33:29.701469,define,code/lib/commands/books/delete_page_scrap_command.dart (windshield),code/lib/services/firebase/firebase_service.dart (NO_NODE_YET),10:19-10:36,208:15-208:32,2023-02-01T19:33:29.701469
104,231,energy,control,2,0,2023-02-01 19:35:12.103188,tree,,code/lib/views/editor_page/panels/collapsible_pages_panel.dart (NO_NODE_YET),,,2023-02-01T19:35:12.103188
106,592,energy,control,2,0,2023-02-01 19:35:27.618320,UI,,/commands/books/delete_page_scrap_command.dart,,,2023-02-01T19:35:27.618320
108,594,energy,control,2,0,2023-02-01 19:35:31.926350,UI,,/styled_widgets/context_menus/scrap_context_menu.dart,,,2023-02-01T19:35:31.926350
110,232,energy,control,2,0,2023-02-01 19:35:46.160504,tree,,code/lib/views/editor_page/panels/collapsible_pages_panel.dart (apology),,,2023-02-01T19:35:46.160504
112,233,energy,control,2,0,2023-02-01 19:36:06.860074,define,code/lib/views/editor_page/panels/collapsible_pages_panel.dart (apology),code/lib/data/book_data.dart (NO_NODE_YET),30:9-30:22,71:6-71:19,2023-02-01T19:36:06.860074
114,234,energy,control,2,0,2023-02-01 19:36:21.787539,tree,,code/lib/views/editor_page/panels/collapsible_pages_panel.dart (apology),,,2023-02-01T19:36:21.787539
116,235,energy,control,2,0,2023-02-01 19:36:56.342589,tree,,code/lib/views/editor_page/scrapboard/scrapboard.dart (NO_NODE_YET),,,2023-02-01T19:36:56.342589
118,236,energy,control,2,0,2023-02-01 19:38:12.320459,tree,,code/lib/views/editor_page/editor_page.dart (NO_NODE_YET),,,2023-02-01T19:38:12.320459
120,237,energy,control,2,0,2023-02-01 19:39:45.457620,mark,,code/lib/views/editor_page/editor_page.dart (garage),,29:54-29:79,2023-02-01T19:39:45.457620
121,238,energy,control,2,0,2023-02-01 19:39:47.677688,define,code/lib/views/editor_page/editor_page.dart (garage),code/lib/models/books_model.dart (coelurus),29:56-29:67,101:21-101:32,2023-02-01T19:39:47.677688
123,239,energy,control,2,0,2023-02-01 19:40:06.646850,tree,,code/lib/views/editor_page/editor_page.dart (garage),,,2023-02-01T19:40:06.646850
